75.925	-14.575	11237.7
75.925	-14.375	15746.8
75.925	-14.175	16630.2
75.925	-13.975	15968.7
75.925	-13.775	15158
75.925	-13.575	14841.4
75.925	-13.375	14696.1
75.925	-13.175	14551.2
75.925	-12.975	14378.4
75.925	-12.775	14076
75.925	-12.575	13476.4
75.925	-12.375	12427.7
75.925	-12.175	11137.1
75.925	-11.975	10582.4
75.925	-11.775	11568.5
75.925	-11.575	13321
75.925	-11.375	14920.1
75.925	-11.175	16135.1
75.925	-10.975	17008.3
75.925	-10.775	17617.1
75.925	-10.575	17864.7
75.925	-10.375	17535.8
75.925	-10.175	16359.5
75.925	-9.975	14542.3
75.925	-9.775	13244.5
75.925	-9.575	13561.7
75.925	-9.375	14963.8
75.925	-9.175	16558.6
75.925	-8.975	18001.1
75.925	-8.775	19246
75.925	-8.575	20245.1
75.925	-8.375	20803.3
75.925	-8.175	20587.7
75.925	-7.975	19226.9
75.925	-7.775	17143.1
75.925	-7.575	15732.6
75.925	-7.375	15948
75.925	-7.175	17250.8
75.925	-6.975	18881.7
75.925	-6.775	20497.7
75.925	-6.575	22005.9
75.925	-6.375	23273
75.925	-6.175	23950.5
75.925	-5.975	23525.5
75.925	-5.775	21720.4
75.925	-5.575	19394.7
75.925	-5.375	18133.3
75.925	-5.175	18507.6
75.925	-4.975	19871.8
75.925	-4.775	21567.3
75.925	-4.575	23299.7
75.925	-4.375	24895.3
75.925	-4.175	26109.5
75.925	-3.975	26396.5
75.925	-3.775	25196.9
75.925	-3.575	22661
75.925	-3.375	20443.8
75.925	-3.175	19985.4
75.925	-2.975	21080.8
75.925	-2.775	22903.4
75.925	-2.575	25017.3
75.925	-2.375	27315.2
75.925	-2.175	29874.5
75.925	-1.975	32837.9
75.925	-1.775	36870.9
75.925	0.825	14367.3
75.925	1.025	12553.1
75.925	1.225	12137.1
75.925	1.425	13551.2
75.925	1.625	15441.4
75.925	1.825	17130.7
75.925	2.025	18547.9
75.925	2.225	19772
75.925	2.425	20861
75.925	2.625	21873.3
75.925	2.825	22793.7
75.925	3.025	23091.8
75.925	3.225	21754.8
75.925	3.425	20238.7
75.925	3.625	20527.5
75.925	3.825	21595.8
75.925	4.025	22226.2
75.925	4.225	22661
75.925	4.425	23028
75.925	4.625	23387.8
75.925	4.825	23781.2
75.925	5.025	24212.8
75.925	5.225	24691.5
75.925	5.425	24968.9
75.925	5.625	24088.2
75.925	5.825	21988
75.925	6.025	21126
75.925	6.225	21980.3
75.925	6.425	22720
75.925	6.625	23073.1
75.925	6.825	23335.5
75.925	7.025	23591.1
75.925	7.225	23869.3
75.925	7.425	24189.7
75.925	7.625	24576.7
75.925	7.825	24974.5
75.925	8.025	24777.7
75.925	8.225	22979.5
75.925	8.425	21213.9
75.925	8.625	21379.2
75.925	8.825	22301.4
75.925	9.025	22755.4
75.925	9.225	23026
75.925	9.425	23262.1
75.925	9.625	23501.3
75.925	9.825	23779.1
75.925	10.025	24122.1
75.925	10.225	24519.7
75.925	10.425	24736.9
75.925	10.625	23779.8
75.925	10.825	21635
75.925	11.025	20763.6
75.925	11.225	21557.7
75.925	11.425	22236.8
75.925	11.625	22551
75.925	11.825	22790.9
75.925	12.025	23019.5
75.925	12.225	23273.1
75.925	12.425	23571.6
75.925	12.625	23931
75.925	12.825	24306.2
75.925	13.025	24114
75.925	13.225	22360.5
75.925	13.425	20563.4
75.925	13.625	20697.3
75.925	13.825	21562.1
75.925	14.025	22017
75.925	14.225	22270.8
75.925	14.425	22499.8
75.925	14.625	22734.7
75.925	14.825	23008.9
75.925	15.025	23327
75.925	15.225	23722.4
75.925	15.425	23943.5
75.925	15.625	23017.2
75.925	15.825	20924.8
75.925	16.025	20028
75.925	16.225	20752.9
75.925	16.425	21408.6
75.925	16.625	21725.7
75.925	16.825	21965.6
75.925	17.025	22191.4
75.925	17.225	22439.1
75.925	17.425	22736.5
75.925	17.625	23098.4
75.925	17.825	23467.3
75.925	18.025	23308.4
75.925	18.225	21595.8
75.925	18.425	19834.3
75.925	18.625	19876.9
75.925	18.825	20717.4
75.925	19.025	21162
75.925	19.225	21423.5
75.925	19.425	21647.8
75.925	19.625	21885.6
75.925	19.825	22157.1
75.925	20.025	22479.8
75.925	20.225	22863.4
75.925	20.425	23091.6
75.925	20.625	22214.3
75.925	20.825	20187.4
75.925	21.025	19234.2
75.925	21.225	19925.6
75.925	21.425	20558.8
75.925	21.625	20872.5
75.925	21.825	21112.9
75.925	22.025	21339.8
75.925	22.225	21590.1
75.925	22.425	21883.1
75.925	22.625	22249.6
75.925	22.825	22610.7
75.925	23.025	22450.5
75.925	23.225	20803.2
75.925	23.425	19070.6
75.925	23.625	19069.9
75.925	23.825	19868
75.925	24.025	20308.8
75.925	24.225	20570
75.925	24.425	20799.1
75.925	24.625	21031
75.925	24.825	21302.5
75.925	25.025	21630.7
75.925	25.225	22011.5
75.925	25.425	22238.2
75.925	25.625	21386.4
75.925	25.825	19431.9
75.925	26.025	18448.1
75.925	26.225	19093.4
75.925	26.425	19704.9
75.925	26.625	20019.4
75.925	26.825	20259.1
75.925	27.025	20488.6
75.925	27.225	20739.7
75.925	27.425	21034.4
75.925	27.625	21390.4
75.925	27.825	21757
75.925	28.025	21629.2
75.925	28.225	20047.1
75.925	28.425	18295.4
75.925	28.625	18286.7
75.925	28.825	19026.8
75.925	29.025	19459
75.925	29.225	19721.3
75.925	29.425	19959.4
75.925	29.625	20194.1
75.925	29.825	20461.4
75.925	30.025	20790.3
75.925	30.225	21166.4
75.925	30.425	21422.8
