Enr	B8	hep	DSN	atm
   1.7250000e+01   0.0000000e+00   0.0000000e+00   2.5060224e-10   2.4939078e-09
   1.7500000e+01   0.0000000e+00   0.0000000e+00   2.3891365e-10   2.4530594e-09
   1.7750000e+01   0.0000000e+00   0.0000000e+00   2.2783034e-10   2.4128876e-09
   1.8000000e+01   0.0000000e+00   0.0000000e+00   2.1731455e-10   2.3733789e-09
   1.8250000e+01   0.0000000e+00   0.0000000e+00   2.0733406e-10   2.3345210e-09
   1.8500000e+01   0.0000000e+00   0.0000000e+00   1.9785990e-10   2.2963021e-09
   1.8750000e+01   0.0000000e+00   0.0000000e+00   1.8886124e-10   2.2587099e-09
   1.9000000e+01   0.0000000e+00   0.0000000e+00   1.8031178e-10   2.2217329e-09
   1.9250000e+01   0.0000000e+00   0.0000000e+00   1.7218551e-10   2.1853594e-09
   1.9500000e+01   0.0000000e+00   0.0000000e+00   1.6445949e-10   2.1495786e-09
   1.9750000e+01   0.0000000e+00   0.0000000e+00   1.5711168e-10   2.1143798e-09
   2.0000000e+01   0.0000000e+00   0.0000000e+00   1.5012179e-10   2.0797524e-09
   2.0250000e+01   0.0000000e+00   0.0000000e+00   1.4347031e-10   2.0456863e-09
   2.0500000e+01   0.0000000e+00   0.0000000e+00   1.3713904e-10   2.0121712e-09
   2.0750000e+01   0.0000000e+00   0.0000000e+00   1.3111097e-10   1.9791974e-09
   2.1000000e+01   0.0000000e+00   0.0000000e+00   1.2537017e-10   1.9467553e-09
   2.1250000e+01   0.0000000e+00   0.0000000e+00   1.1990175e-10   1.9148356e-09
   2.1500000e+01   0.0000000e+00   0.0000000e+00   1.1469120e-10   1.8834291e-09
   2.1750000e+01   0.0000000e+00   0.0000000e+00   1.0972529e-10   1.8525267e-09
   2.2000000e+01   0.0000000e+00   0.0000000e+00   1.0499119e-10   1.8221195e-09
   2.2250000e+01   0.0000000e+00   0.0000000e+00   1.0047760e-10   1.7921992e-09
   2.2500000e+01   0.0000000e+00   0.0000000e+00   9.6172689e-11   1.7627573e-09
   2.2750000e+01   0.0000000e+00   0.0000000e+00   9.2066739e-11   1.7337856e-09
   2.3000000e+01   0.0000000e+00   0.0000000e+00   8.8150040e-11   1.7052764e-09
   2.3250000e+01   0.0000000e+00   0.0000000e+00   8.4411990e-11   1.6772212e-09
   2.3500000e+01   0.0000000e+00   0.0000000e+00   8.0844037e-11   1.6496125e-09
   2.3750000e+01   0.0000000e+00   0.0000000e+00   7.7438089e-11   1.6224428e-09
   2.4000000e+01   0.0000000e+00   0.0000000e+00   7.4186742e-11   1.5957051e-09
   2.4250000e+01   0.0000000e+00   0.0000000e+00   7.1081148e-11   1.5693914e-09
   2.4500000e+01   0.0000000e+00   0.0000000e+00   6.8114452e-11   1.5434947e-09
   2.4750000e+01   0.0000000e+00   0.0000000e+00   6.5281131e-11   1.5180088e-09
   2.5000000e+01   0.0000000e+00   0.0000000e+00   6.2573279e-11   1.4929260e-09
   2.5250000e+01   0.0000000e+00   0.0000000e+00   5.9985225e-11   1.4682398e-09
   2.5500000e+01   0.0000000e+00   0.0000000e+00   5.7512069e-11   1.4439442e-09
   2.5750000e+01   0.0000000e+00   0.0000000e+00   5.5146940e-11   1.4200318e-09
   2.6000000e+01   0.0000000e+00   0.0000000e+00   5.2886062e-11   1.3964973e-09
   2.6250000e+01   0.0000000e+00   0.0000000e+00   5.0723322e-11   1.3733336e-09
   2.6500000e+01   0.0000000e+00   0.0000000e+00   4.8654926e-11   1.3505353e-09
   2.6750000e+01   0.0000000e+00   0.0000000e+00   4.6675988e-11   1.3280960e-09
   2.7000000e+01   0.0000000e+00   0.0000000e+00   4.4782299e-11   1.3060100e-09
   2.7250000e+01   0.0000000e+00   0.0000000e+00   4.2970141e-11   1.2842717e-09
   2.7500000e+01   0.0000000e+00   0.0000000e+00   4.1235465e-11   1.2628752e-09
   2.7750000e+01   0.0000000e+00   0.0000000e+00   3.9574801e-11   1.2418152e-09
   2.8000000e+01   0.0000000e+00   0.0000000e+00   3.7984770e-11   1.2210862e-09
   2.8250000e+01   0.0000000e+00   0.0000000e+00   3.6461874e-11   1.2006826e-09
   2.8500000e+01   0.0000000e+00   0.0000000e+00   3.5003628e-11   1.1805999e-09
   2.8750000e+01   0.0000000e+00   0.0000000e+00   3.3606206e-11   1.1608320e-09
   2.9000000e+01   0.0000000e+00   0.0000000e+00   3.2267817e-11   1.1413747e-09
   2.9250000e+01   0.0000000e+00   0.0000000e+00   3.0985048e-11   1.1222226e-09
   2.9500000e+01   0.0000000e+00   0.0000000e+00   2.9755774e-11   1.1033709e-09
   2.9750000e+01   0.0000000e+00   0.0000000e+00   2.8577657e-11   1.0848151e-09
   3.0000000e+01   0.0000000e+00   0.0000000e+00   2.7447865e-11   1.0665499e-09
   3.0250000e+01   0.0000000e+00   0.0000000e+00   2.6365120e-11   1.0485716e-09
   3.0500000e+01   0.0000000e+00   0.0000000e+00   2.5326714e-11   1.0308749e-09
   3.0750000e+01   0.0000000e+00   0.0000000e+00   2.4330656e-11   1.0134554e-09
   3.1000000e+01   0.0000000e+00   0.0000000e+00   2.3375715e-11   9.9630942e-10
   3.1250000e+01   0.0000000e+00   0.0000000e+00   2.2459542e-11   9.7943204e-10
   3.1500000e+01   0.0000000e+00   0.0000000e+00   2.1580414e-11   9.6281898e-10
   3.1750000e+01   0.0000000e+00   0.0000000e+00   2.0737161e-11   9.4646658e-10
   3.2000000e+01   0.0000000e+00   0.0000000e+00   1.9928079e-11   9.3037060e-10
   3.2250000e+01   0.0000000e+00   0.0000000e+00   1.9151550e-11   9.1452686e-10
   3.2500000e+01   0.0000000e+00   0.0000000e+00   1.8406156e-11   8.9893138e-10
   3.2750000e+01   0.0000000e+00   0.0000000e+00   1.7690940e-11   8.8358072e-10
   3.3000000e+01   0.0000000e+00   0.0000000e+00   1.7004361e-11   8.6847078e-10
   3.3250000e+01   0.0000000e+00   0.0000000e+00   1.6345193e-11   8.5359780e-10
