1	9.07E+04
3	7.57E+04
5	6.28E+04
7	5.21E+04
9	4.30E+04
11	3.53E+04
13	2.90E+04
15	2.37E+04
17	1.93E+04
19	1.57E+04
21	1.27E+04
23	1.02E+04
25	8.24E+03
27	6.61E+03
29	5.28E+03
31	4.21E+03
33	3.35E+03
35	2.65E+03
37	2.09E+03
39	1.64E+03
41	1.29E+03
43	1.00E+03
45	7.80E+02
47	6.02E+02
49	4.64E+02
51	3.56E+02
53	2.70E+02
55	2.05E+02
57	1.54E+02
59	1.15E+02
61	8.55E+01
63	6.29E+01
65	4.57E+01
67	3.30E+01
69	2.35E+01
71	1.65E+01
73	1.14E+01
75	7.73E+00
77	5.11E+00
79	3.29E+00
81	2.04E+00
83	1.20E+00
85	6.64E-01
87	3.33E-01
89	1.41E-01
91	4.40E-02
93	5.90E-03
95	2.83E-03
97	1.84E-02
99	4.14E-02
