6.000000000000000000e+00	2.633050889089733272e-45
7.330727383614076054e+00	4.870776193972444050e-46
8.956593995478211667e+00	1.255853579083746483e-46
1.094305814442758873e+01	4.314155453676703735e-47
1.337009599997272424e+01	1.775715877627839429e-47
1.633542147809151501e+01	9.983395489162770546e-48
1.995842025872049419e+01	6.586081320009297845e-48
2.438495632071337127e+01	4.920046620005931286e-48
2.979324450808111990e+01	4.189919575426003221e-48
3.640102556034997860e+01	3.809248618319573774e-48
4.447433247781557952e+01	3.760028875698465785e-48
5.433820116051326465e+01	3.859100546321881494e-48
6.638975653728411430e+01	4.181494200251193712e-48
8.111420103989001973e+01	4.547741248274905891e-48
9.910434912718316980e+01	5.278696205078750131e-48
1.210844943303152093e+02	6.088427245287207297e-48
1.479395697197175537e+02	7.228548896021955179e-48
1.807507758107362577e+02	8.619465595195318302e-48
2.208391103075422279e+02	1.030347699187419566e-47
2.698185522174113657e+02	1.241768787227872723e-47
3.296610415578800826e+02	1.481644560965296928e-47
4.027758707765149779e+02	1.787128791352346181e-47
4.921066842267339325e+02	2.183996406632621898e-47
6.012499909534074050e+02	2.650125218982969834e-47
7.345999621799767283e+02	3.224455474870226457e-47
8.975253431257684724e+02	3.937648142949317414e-47
1.096585601723282025e+03	4.848062494403610597e-47
1.339795016504964224e+03	5.870949792280420074e-47
1.636945335987102681e+03	7.171744015961888636e-47
2.000000000000000227e+03	8.792679334057984180e-47
