,,,,,,,,
,filename_prefix,livetime,,,,,,
,lux10_20130530T2214,2.2,,,,,,
,lux10_20130531T0029,5.75,,,,,,
,lux10_20130531T0620,1.73,,,,,,
,lux10_20130531T0822,5.58,,,,,,
,lux10_20130531T2227,6.46,,,,,,
,lux10_20130601T0502,7.83,,,,,,
,lux10_20130601T1300,6.74,,,,,,
,lux10_20130601T1951,4.95,,,,,,
,lux10_20130602T0052,6.03,,,,,,
,lux10_20130602T0701,6.89,,,,,,
,lux10_20130602T1401,8.21,,,,,,
,lux10_20130602T2318,7.99,,,,,,
,lux10_20130603T0725,6.96,,,,,,
,lux10_20130603T1429,7.69,,,,,,
,lux10_20130603T2218,5.53,,,,,,
,lux10_20130604T0355,8.37,,,,,,
,lux10_20130604T1239,1.65,,,,,,
,lux10_20130604T1737,3.92,,,,,,
,lux10_20130604T2137,1.91,,,,,,
,lux10_20130604T2334,8.24,,,,,,
,lux10_20130605T0835,6.95,,,,,,
,lux10_20130605T1539,5.86,,,,,,
,lux10_20130605T2138,5.24,,,,,,
,lux10_20130606T0257,6.82,,,,,,
,lux10_20130606T0953,7.17,,,,,,
,lux10_20130606T1710,8.58,,,,,,
,lux10_20130607T0658,1.31,,,,,,
,lux10_20130607T1834,8.05,,,,,,
,lux10_20130608T0247,8.04,,,,,,
,lux10_20130608T1058,7.96,,,,,,
,lux10_20130608T1904,8.15,,,,,,
,lux10_20130609T0321,8.18,,,,,,
,lux10_20130609T1140,8.33,,,,,,
,lux10_20130609T2008,8.11,,,,,,
,lux10_20130610T0424,4.67,,,,,,
,lux10_20130610T1336,1.65,,,,,,
,lux10_20130610T1518,6.43,,,,,,
,lux10_20130610T2151,8.09,,,,,,
,lux10_20130611T0605,8.54,,,,,,
,lux10_20130611T1451,7.6,,,,,,
,lux10_20130611T2234,8.65,,,,,,
,lux10_20130612T0724,8.23,,,,,,
,lux10_20130612T1551,6.34,,,,,,
,lux10_20130612T2217,8.21,,,,,,
,lux10_20130613T0637,8.64,,,,,,
,lux10_20130613T1533,5.75,,,,,,
,lux10_20130613T2123,7.86,,,,,,
,lux10_20130614T0522,4.57,,,,,,
,lux10_20130614T1035,5.7,,,,,,
,lux10_20130614T1623,0.11,,,,,,
,lux10_20130614T1631,0.14,,,,,,
,lux10_20130614T1649,5.37,,,,,,
,lux10_20130614T2217,8.55,,,,,,
,lux10_20130615T0800,8.04,,,,,,
,lux10_20130615T1609,6.24,,,,,,
,lux10_20130615T2230,8.32,,,,,,
,lux10_20130616T0658,8.46,,,,,,
,lux10_20130616T1533,6.31,,,,,,
,lux10_20130616T2157,8.38,,,,,,
,lux10_20130617T0628,8.33,,,,,,
,lux10_20130617T1455,0.02,,,,,,
,lux10_20130617T1457,6.93,,,,,,
,lux10_20130617T2200,8.17,,,,,,
,lux10_20130618T0619,8.27,,,,,,
,lux10_20130618T1442,7.16,,,,,,
,lux10_20130618T2158,8.13,,,,,,
,lux10_20130619T0613,8.38,,,,,,
,lux10_20130619T1451,8.3,,,,,,
,lux10_20130620T0045,8.18,,,,,,
,lux10_20130620T0912,2.23,,,,,,
,lux10_20130620T1138,3.16,,,,,,
,lux10_20130620T1631,5.93,,,,,,
,lux10_20130620T2233,7.97,,,,,,
,lux10_20130621T0639,5.49,,,,,,
,lux10_20130621T1341,1.82,,,,,,
,lux10_20130621T1533,8.85,,,,,,
,lux10_20130622T0033,8.83,,,,,,
,lux10_20130622T0933,5.79,,,,,,
,lux10_20130622T1526,7.21,,,,,,
,lux10_20130622T2320,6,,,,,,
,lux10_20130623T0550,9.32,,,,,,
,lux10_20130623T1522,8.1,,,,,,
,lux10_20130623T2335,9.24,,,,,,
,lux10_20130624T0902,2.2,,,,,,
,lux10_20130626T1028,4.73,,,,,,
,lux10_20130626T1517,8.28,,,,,,
,lux10_20130626T2342,8.39,,,,,,
,lux10_20130627T0814,7.84,,,,,,
,lux10_20130627T1611,6.93,,,,,,
,lux10_20130627T2313,7.53,,,,,,
,lux10_20130628T0652,1.42,,,,,,
,lux10_20130628T0819,0.58,,,,,,
,lux10_20130628T1008,2.29,,,,,,
,lux10_20130628T1338,1.06,,,,,,
,lux10_20130628T1444,9.12,,,,,,
,lux10_20130629T0000,8.78,,,,,,
,lux10_20130629T0855,8.63,,,,,,
,lux10_20130629T1741,5.67,,,,,,
,lux10_20130629T2327,9.43,,,,,,
,lux10_20130630T0916,7.95,,,,,,
,lux10_20130630T1720,6.61,,,,,,
,lux10_20130701T0003,6.16,,,,,,
,lux10_20130701T0618,1.42,,,,,,
,lux10_20130701T1646,6.09,,,,,,
,lux10_20130701T2257,7.53,,,,,,
,lux10_20130702T0637,2.75,,,,,,
,lux10_20130702T1040,6.99,,,,,,
,lux10_20130702T1745,5.61,,,,,,
,lux10_20130702T2326,8.07,,,,,,
,lux10_20130703T0738,0.78,,,,,,
,lux10_20130703T1521,8.38,,,,,,
,lux10_20130703T2351,8.97,,,,,,
,lux10_20130704T0857,8.54,,,,,,
,lux10_20130704T1737,5.76,,,,,,
,lux10_20130704T2327,8.47,,,,,,
,lux10_20130705T0802,7.33,,,,,,
,lux10_20130705T1530,7.76,,,,,,
,lux10_20130705T2323,0.08,,,,,,
,lux10_20130705T2330,8.28,,,,,,
,lux10_20130706T0756,8.21,,,,,,
,lux10_20130706T1615,7.22,,,,,,
,lux10_20130706T2336,8.63,,,,,,
,lux10_20130707T0824,7.9,,,,,,
,lux10_20130707T1624,5.53,,,,,,
,lux10_20130707T2202,7.86,,,,,,
,lux10_20130708T0600,8.02,,,,,,
,lux10_20130708T1413,7.71,,,,,,
,lux10_20130708T2204,8.27,,,,,,
,lux10_20130709T0627,3.57,,,,,,
,lux10_20130709T1009,7.9,,,,,,
,lux10_20130709T1811,4.1,,,,,,
,lux10_20130709T2221,8.05,,,,,,
,lux10_20130710T0631,1.9,,,,,,
,lux10_20130710T1528,7.62,,,,,,
,lux10_20130710T2313,7.93,,,,,,
,lux10_20130711T0715,7.76,,,,,,
,lux10_20130711T1532,6.3,,,,,,
,lux10_20130711T2157,7.93,,,,,,
,lux10_20130712T0600,2.65,,,,,,
,lux10_20130712T1209,1.64,,,,,,
,lux10_20130712T1351,0.53,,,,,,
,lux10_20130712T1427,7.7,,,,,,
,lux10_20130712T2232,7.88,,,,,,
,lux10_20130713T0631,8.13,,,,,,
,lux10_20130713T1446,7.4,,,,,,
,lux10_20130713T2217,5.82,,,,,,
,lux10_20130716T2014,3.81,,,,,,
,lux10_20130717T0007,8.51,,,,,,
,lux10_20130717T0845,5.18,,,,,,
,lux10_20130717T1424,7.68,,,,,,
,lux10_20130717T2212,7.58,,,,,,
,lux10_20130718T0553,4.81,,,,,,
,lux10_20130718T1158,4.46,,,,,,
,lux10_20130718T1629,5.47,,,,,,
,lux10_20130718T2203,4.96,,,,,,
,lux10_20130719T1007,0.43,,,,,,
,lux10_20130720T1908,3.07,,,,,,
,lux10_20130720T2215,7.94,,,,,,
,lux10_20130721T0618,7.73,,,,,,
,lux10_20130721T1409,7.89,,,,,,
,lux10_20130721T2211,8.24,,,,,,
,lux10_20130722T0633,8.46,,,,,,
,lux10_20130722T1626,6.09,,,,,,
,lux10_20130722T2238,7.93,,,,,,
,lux10_20130723T0641,8.07,,,,,,
,lux10_20130723T1452,7.09,,,,,,
,lux10_20130723T2205,8.06,,,,,,
,lux10_20130724T0654,1.82,,,,,,
,lux10_20130724T1520,7.55,,,,,,
,lux10_20130724T2301,2.83,,,,,,
,lux10_20130725T0724,7.03,,,,,,
,lux10_20130725T1520,7.1,,,,,,
,lux10_20130725T2233,7.61,,,,,,
,lux10_20130726T0617,2.09,,,,,,
,lux10_20130726T0830,3.84,,,,,,
,lux10_20130726T1224,1.15,,,,,,
,lux10_20130726T1431,3.73,,,,,,
,lux10_20130726T1819,5.6,,,,,,
,lux10_20130727T0000,7.91,,,,,,
,lux10_20130727T0803,3.09,,,,,,
,lux10_20130727T1112,5.63,,,,,,
,lux10_20130727T1655,7.89,,,,,,
,lux10_20130728T0055,8.21,,,,,,
,lux10_20130728T0915,9.03,,,,,,
,lux10_20130728T1825,4.42,,,,,,
,lux10_20130728T2255,7.56,,,,,,
,lux10_20130729T0635,4,,,,,,
,lux10_20130729T1004,7.67,,,,,,
,lux10_20130729T1752,5.65,,,,,,
,lux10_20130729T2337,8.33,,,,,,
,lux10_20130730T0803,2,,,,,,
,lux10_20130730T1532,7.66,,,,,,
,lux10_20130730T2321,7.55,,,,,,
,lux10_20130731T0700,1.56,,,,,,
,lux10_20130731T1524,7.15,,,,,,
,lux10_20130731T2254,7.98,,,,,,
,lux10_20130801T0659,1.57,,,,,,
,lux10_20130801T1528,3.48,,,,,,
,lux10_20130801T1901,4.69,,,,,,
